CustomerID,Recency,Frequency,MonetaryValue,R,F,M,RFM_Segment,RFM_Score,RFM_Level
12747,3,25,948.7,4,4,4,444,12.0,Top
12748,1,888,7046.159999999979,4,4,4,444,12.0,Top
12749,4,37,813.4499999999998,4,4,4,444,12.0,Top
12820,4,17,268.0200000000001,4,3,3,433,10.0,Top
12822,71,9,146.15,2,2,3,223,7.0,Middle
12823,297,1,306.0,1,1,3,113,5.0,Low
12824,60,6,106.38,2,2,2,222,6.0,Middle
12826,3,16,272.66,4,3,3,433,10.0,Top
12827,33,2,44.55,3,1,1,311,5.0,Low
12828,8,12,195.4,4,3,3,433,10.0,Top
12829,337,2,95.8,1,1,2,112,4.0,Low
12830,92,10,1727.92,2,3,4,234,9.0,Middle
12832,33,5,67.4,3,2,2,322,7.0,Middle
12833,146,5,87.0,1,2,2,122,5.0,Low
12834,283,9,161.00000000000003,1,2,3,123,6.0,Middle
12836,60,34,585.53,2,4,4,244,10.0,Top
12837,174,2,10.55,1,1,1,111,3.0,Low
12838,34,17,62.11,3,3,2,332,8.0,Middle
12839,3,54,947.63,4,4,4,444,12.0,Top
12840,144,19,459.66,1,3,4,134,8.0,Middle
12841,5,70,630.95,4,4,4,444,12.0,Top
12842,71,8,224.54,2,2,3,223,7.0,Middle
12843,160,22,385.55,1,4,4,144,9.0,Middle
12844,30,7,38.05,3,2,1,321,6.0,Middle
12845,269,4,221.1,1,1,3,113,5.0,Low
12847,23,14,123.20999999999998,3,3,2,332,8.0,Middle
12849,32,15,266.75,3,3,3,333,9.0,Middle
12851,97,13,29.570000000000004,2,3,1,231,6.0,Middle
12852,295,2,32.550000000000004,1,1,1,111,3.0,Low
12853,135,12,234.48,2,3,3,233,8.0,Middle
12854,79,21,319.01,2,3,3,233,8.0,Middle
12856,8,64,402.48000000000013,4,4,4,444,12.0,Top
12857,211,11,283.85,1,3,3,133,7.0,Middle
12863,53,1,34.8,2,1,1,211,4.0,Low
12864,139,1,17.4,2,1,1,211,4.0,Low
