CustomerID,Recency,Frequency,MonetaryValue,Tenure
12747,3,25,948.7,362
12748,1,888,7046.159999999979,365
12749,4,37,813.4499999999998,214
12820,4,17,268.0200000000001,327
12822,71,9,146.15,88
12823,297,1,306.0,297
12824,60,6,106.38,60
12826,3,16,272.66,325
12827,33,2,44.55,45
12828,8,12,195.4,131
12829,337,2,95.8,361
12830,92,10,1727.92,172
12832,33,5,67.4,99
12833,146,5,87.0,146
12834,283,9,161.00000000000003,283
12836,60,34,585.53,312
12837,174,2,10.55,174
12838,34,17,62.11,34
12839,3,54,947.63,358
12840,144,19,459.66,227
12841,5,70,630.95,338
12842,71,8,224.54,309
12843,160,22,385.55,265
12844,30,7,38.05,131
12845,269,4,221.1,291
12847,23,14,123.20999999999998,23
12849,32,15,266.75,269
12851,97,13,29.570000000000004,97
12852,295,2,32.550000000000004,295
12853,135,12,234.48,316
12854,79,21,319.01,319
12856,8,64,402.48000000000013,64
12857,211,11,283.85,303
12863,53,1,34.8,53
12864,139,1,17.4,139
12867,27,105,749.2899999999997,361
12868,186,16,177.31000000000003,332
12871,85,5,70.74,208
12872,327,6,73.4,327
12873,283,1,102.0,283
12877,4,33,232.71,359
12878,237,8,174.3,267
12879,92,2,70.80000000000003,92
12883,25,10,186.18,90
12884,89,1,31.8,89
12885,64,20,361.47999999999985,124
12886,68,12,212.39,220
12890,25,13,53.87,25
12893,31,7,20.4,31
12895,43,6,107.65,87
12901,11,28,3647.06,261
12902,265,4,42.03,265
12904,19,15,64.55000000000001,173
12906,12,16,494.87000000000006,79
12909,88,19,624.2100000000003,254
12910,65,12,481.26,242
12912,9,3,162.36,41
12913,5,12,617.78,302
12915,149,2,35.9,149
12916,139,24,699.38,321
12919,9,6,133.74,170
12920,18,3,23.4,18
12921,10,115,2393.04,339
12922,162,4,57.24,162
12923,65,9,59.49999999999999,65
12924,89,6,220.83,276
12925,5,11,183.16000000000003,75
12928,36,15,366.8,360
12929,312,3,42.90000000000001,312
12930,79,6,97.51,172
12931,22,19,8490.64,358
12933,25,24,113.87,284
12935,3,26,406.1,320
12936,18,14,236.79,79
12937,16,31,393.43,268
12939,65,9,1680.6799999999996,299
12940,55,22,207.07,88
12942,132,14,80.92,198
12944,36,8,189.4,355
12945,289,5,129.10000000000002,289
12947,144,17,215.87,337
12948,45,23,372.78,265
12949,31,42,748.02,253
12950,3,4,471.6,25
12951,9,8,157.29999999999995,331
12952,6,18,291.27,79
12953,10,4,76.3,10
12955,2,32,875.5200000000003,268
12956,307,2,7.9,307
12957,10,50,814.7,340
12962,8,3,40.45,114
12963,9,13,257.62000000000006,54
12965,90,16,102.1,90
12966,10,3,42.5,10
12968,113,2,24.95,113
12970,8,30,72.78,323
12971,16,53,2082.69,358
12974,198,2,47.5,198
12976,212,5,203.68,212
12977,157,1,0.65,157
12980,188,7,2463.5399999999995,359
12981,30,4,84.47999999999998,134
12982,243,6,85.28999999999998,243
12984,19,1,19.8,19
12985,1,12,174.82,29
12987,74,3,45.4,198
12988,293,15,102.42,293
12989,4,13,976.8,299
12990,32,1,20.8,32
12991,24,4,77.7,113
12993,24,10,154.14999999999995,299
12994,5,15,212.45,269
12997,23,10,165.37999999999997,318
12999,206,2,21.9,246
13000,260,3,46.08,365
13001,5,67,2109.48,327
13002,319,2,24.95,319
13004,12,80,1044.6299999999997,358
13005,174,6,92.85,247
13006,57,3,77.00999999999998,57
13008,324,4,46.92,324
13012,10,19,418.92,295
13013,22,32,624.6,249
13014,11,26,680.6,282
13015,54,32,900.1499999999999,250
13016,74,10,184.11,124
13018,17,94,1483.6200000000006,296
13021,5,28,585.5,359
13023,65,10,181.49,130
13026,2,9,391.8,276
13027,114,5,1344.0,355
13028,23,10,160.20000000000005,46
13029,139,2,315.9,139
13030,12,4,60.93,12
13032,53,8,115.23,88
13033,358,3,55.05,358
13034,55,5,86.99999999999999,55
13035,74,6,262.70000000000005,261
13037,139,15,237.22,257
13038,291,4,75.6,291
13040,9,9,109.01,34
13043,274,3,196.8,274
13044,292,9,150.84,292
13045,100,4,45.34,100
13046,31,7,99.33,267
13047,57,36,626.02,310
13048,15,31,479.4,328
13049,65,3,122.1,319
13050,15,76,1147.5200000000004,361
13052,213,3,72.6,213
13055,79,10,191.64,79
13058,25,3,59.0,152
13060,254,4,62.39999999999999,254
13061,73,3,62.1,73
13062,192,2,32.4,192
13064,13,12,152.28,328
13066,25,11,94.1,33
13067,83,3,21.44,83
13069,15,72,627.5300000000002,362
13070,193,2,41.6,193
13072,267,1,29.700000000000006,267
13075,130,3,136.79999999999998,130
13077,2,18,75.79,291
13078,4,58,1763.4599999999994,360
13080,180,3,19.68,180
13081,12,183,5180.059999999999,338
13082,158,10,216.8,339
13083,5,5,136.0,76
13085,296,1,12.6,296
13089,5,329,10490.390000000003,362
13090,9,30,661.3199999999998,290
13091,29,5,105.42,29
13092,71,5,70.32,278
13093,276,28,1185.84,359
13094,130,2,152.64,206
13095,71,1,9.36,71
13097,33,82,1281.7600000000002,361
13098,2,106,4994.410000000002,318
13101,235,2,25.5,235
13102,2,68,1424.9599999999996,361
13104,4,4,243.96,355
13106,134,1,76.5,134
13107,86,13,357.08,334
13109,60,10,153.73,158
13110,32,31,297.79,312
13113,1,48,2387.2400000000007,332
13115,12,22,503.76,185
13116,139,5,77.74,139
13117,22,8,121.56,320
13118,20,15,126.64,289
13120,239,1,30.6,239
13121,270,10,51.31999999999999,270
13122,241,9,157.83,241
13124,90,50,831.0999999999998,360
13126,5,30,384.42999999999984,339
13127,78,4,68.7,78
13131,24,9,213.5,188
13132,262,2,62.0,262
13133,274,2,39.7,305
13134,86,18,344.54,241
13135,197,1,3096.0,197
13136,57,26,556.96,213
13137,11,129,681.6899999999998,309
13138,23,7,114.02,241
13139,17,39,1109.83,260
13140,109,7,78.56,116
13141,85,30,480.93000000000006,316
13142,20,7,91.14,20
13144,333,1,23.6,333
13145,92,1,45.0,92
13146,27,6,41.98,27
13147,100,1,118.8,100
13148,30,85,943.18,365
13149,15,14,309.8,290
13151,296,11,184.6,296
13153,6,3,37.44,6
13155,34,6,127.4,327
13157,50,10,169.19999999999996,299
13158,95,14,226.27,319
13159,9,31,360.2000000000001,116
13160,23,1,34.8,23
13161,314,1,27.0,314
13162,123,19,397.61,335
13165,47,6,195.6,352
13166,284,6,38.65,284
13167,19,12,122.06000000000002,144
13168,37,19,190.66000000000003,319
13169,253,1,23.4,253
13170,27,8,32.6,27
13171,50,8,46.94000000000001,300
13173,5,3,14.6,5
13174,17,25,244.97000000000003,317
13176,47,12,86.25000000000001,47
13177,65,4,67.35,65
13178,27,52,1231.3599999999994,361
13182,46,2,20.04,46
13183,8,23,823.3000000000003,335
13184,15,29,263.4199999999999,291
13186,40,21,383.69999999999993,129
13187,338,9,69.6,338
13189,19,6,64.2,116
13192,96,18,233.56000000000003,206
13193,62,7,40.45,62
13194,136,1,9.0,136
13196,12,21,336.48,263
13198,11,39,604.78,362
13199,4,23,2043.44,359
13200,20,7,133.14999999999998,127
13203,10,11,158.55999999999997,243
13208,59,27,221.77,310
13209,31,64,1076.39,362
13210,94,6,95.84,94
