,var1,var2,var3
0,137,0.499,992.1179999999999
1,335,9.292,0.111
2,172,243.805,0.09
3,745,4.002,425.405
4,244,13.347,0.029
5,229,0.006,0.112
6,683,0.095,0.837
7,608,2.385,0.171
8,490,15.831,0.124
9,381,35.008,136.60500000000002
10,278,26.604,0.174
11,376,0.162,1.511
12,354,29.204,0.068
13,457,0.147,0.394
14,568,0.122,10.309
15,352,0.991,0.816
16,590,3.858,0.232
17,768,0.643,0.001
18,498,34.681,1.0339999999999998
19,662,0.198,0.017
20,680,0.141,1.4629999999999999
21,315,14.526,70.709
22,603,0.232,0.024
23,578,3.155,0.005
24,186,0.68,0.339
25,241,1.064,5.282
26,493,0.506,0.001
27,107,127.01,0.027
28,419,0.6,0.013999999999999999
29,634,63.193,2.435
30,413,7.342,0.594
31,613,0.249,3.5349999999999997
32,416,0.137,11.469999999999999
33,309,1.267,0.186
34,364,83.895,17.407
35,753,0.605,0.092
36,727,0.658,0.004
37,531,0.027,2.267
38,733,1.135,0.094
39,556,0.016,1.5979999999999999
40,642,0.033,411.33599999999996
41,171,1.217,0.001
42,487,0.098,3.988
43,554,0.541,5.909000000000001
44,661,0.081,0.274
45,413,1.064,0.468
46,615,0.078,0.167
47,597,0.134,0.121
48,143,0.497,0.001
49,688,0.634,0.017
50,126,0.007,91.096
51,436,69.082,96.174
52,721,20.423,2.106
53,397,0.28,1.7129999999999999
54,566,14.659,0.001
55,115,0.075,0.119
56,164,0.038,0.011
57,296,158.757,1.484
58,125,0.311,0.006
59,467,58.607,2.622
60,571,0.006,1679.714
61,382,0.073,0.043000000000000003
62,765,0.341,0.217
63,716,1.309,1.0579999999999998
64,122,0.102,4.869000000000001
65,226,2.59,0.001
66,379,0.085,0.31
67,481,0.026,3.835
68,456,0.41,0.22
69,255,0.624,0.839
70,413,0.53,204.145
71,695,0.521,14.251
72,266,0.642,0.015
73,748,4.532,27.988
74,388,0.08,0.012
75,518,0.18,9.899
76,379,6.649,48.787
77,755,25.825,1.24
78,187,0.496,160.704
79,343,61.634,0.696
80,448,0.075,0.536
81,686,1.235,1.8019999999999998
82,290,1.08,0.001
83,402,0.045,19002.04
84,251,0.056,0.275
85,795,0.744,0.003
86,421,0.145,0.001
87,469,5.899,0.355
88,353,0.318,1.0139999999999998
89,561,0.067,0.323
90,664,1.399,0.182
91,569,6.626,1.9449999999999998
92,554,2.786,4.1930000000000005
93,614,16.813,0.009999999999999998
94,688,22.273,19.546000000000003
95,249,0.092,0.254
96,363,91.77,0.068
97,177,1.543,16.126
98,175,3.762,13.536999999999999
99,432,0.093,0.013999999999999999
